-6.403521728,-2.4640000000000004,1.4225904	-0.625931
-6.403521728,-0.0,-2.8451824	-0.625931
-6.403521728,2.4640000000000004,1.4225904	-0.625931
-6.392553712000001,0.0,0.0	1.892092
4.2546875040000005,-2.4640000000000004,-1.4225904	2.515516
4.2546875040000005,0.0,2.8451824	2.515516
4.2546875040000005,2.4640000000000004,-1.4225904	2.515516
5.700781248,-4.928000000000001,0.0	0.004632
5.700781248,-2.4640000000000004,-4.2677728	0.004632
5.700781248,-2.4640000000000004,4.2677728	0.004632
5.700781248,2.4640000000000004,-4.2677728	0.004632
5.700781248,2.4640000000000004,4.2677728	0.004632
5.700781248,4.928000000000001,0.0	0.004632
6.606640624000001,-2.4640000000000004,1.4225904	-2.519484
6.606640624000001,-0.0,-2.8451824	-2.519484
6.606640624000001,2.4640000000000004,1.4225904	-2.519484
-4.6929687520000005,-0.0,-0.0	-3.142907
-7.960156256000001,-4.928000000000001,-2.8451824	-0.625931
-7.960156256000001,0.0,5.6903632	-0.625931
-7.960156256000001,4.928000000000001,-2.8451824	-0.625931
-10.575000000000001,-4.928000000000001,0.0	1.892092
-10.575000000000001,-2.4640000000000004,-4.2677728	1.892092
-10.575000000000001,-2.4640000000000004,4.2677728	1.892092
-10.575000000000001,2.4640000000000004,-4.2677728	1.892092
-10.575000000000001,2.4640000000000004,4.2677728	1.892092
-10.575000000000001,4.928000000000001,0.0	1.892092
40.275000000000006,-4.928000000000001,2.8451824	2.515516
40.275000000000006,-0.0,-5.6903632	2.515516
40.275000000000006,4.928000000000001,2.8451824	2.515516
5.821875008,-4.928000000000001,-2.8451824	-2.519484
5.821875008,0.0,5.6903632	-2.519484
5.821875008,4.928000000000001,-2.8451824	-2.519484
-5.171875008000001,-4.928000000000001,-0.0	-3.142907
-5.171875008000001,-2.4640000000000004,-4.2677728	-3.142907
-5.171875008000001,-2.4640000000000004,4.2677728	-3.142907
-5.171875008000001,2.4640000000000004,-4.2677728	-3.142907
-5.171875008000001,2.4640000000000004,4.2677728	-3.142907
-5.171875008000001,4.928000000000001,-0.0	-3.142907
-15.2375,-4.928000000000001,5.6903632	-0.625931
-15.2375,4.928000000000001,5.6903632	-0.625931
-15.2375,-7.392,1.4225904	-0.625931
-15.2375,7.392,1.4225904	-0.625931
-15.2375,-2.4640000000000004,-7.112955200000001	-0.625931
-15.2375,2.4640000000000004,-7.112955200000001	-0.625931
9.6125,-2.4640000000000004,-1.4225904	4.409069
9.6125,2.4640000000000004,-1.4225904	4.409069
9.6125,0.0,2.8451824	4.409069
-280.40000000000003,-0.0,-0.0	-5.030367
-280.40000000000003,0.0,0.0	5.039632
21.628124992,-4.928000000000001,-5.6903632	2.515516
21.628124992,4.928000000000001,-5.6903632	2.515516
21.628124992,-7.392,-1.4225904	2.515516
21.628124992,7.392,-1.4225904	2.515516
21.628124992,-2.4640000000000004,7.112955200000001	2.515516
21.628124992,2.4640000000000004,7.112955200000001	2.515516
30.462500000000002,-7.392,-4.2677728	0.004632
30.462500000000002,-7.392,4.2677728	0.004632
30.462500000000002,7.392,-4.2677728	0.004632
30.462500000000002,7.392,4.2677728	0.004632
30.462500000000002,-0.0,-8.5355456	0.004632
30.462500000000002,0.0,8.5355456	0.004632
76.92500000000001,-4.928000000000001,5.6903632	-2.519484
76.92500000000001,4.928000000000001,5.6903632	-2.519484
76.92500000000001,-7.392,1.4225904	-2.519484
76.92500000000001,7.392,1.4225904	-2.519484
76.92500000000001,-2.4640000000000004,-7.112955200000001	-2.519484
76.92500000000001,2.4640000000000004,-7.112955200000001	-2.519484
-233.4,-7.392,-4.2677728	1.892092
-233.4,-7.392,4.2677728	1.892092
-233.4,7.392,-4.2677728	1.892092
-233.4,7.392,4.2677728	1.892092
-233.4,-0.0,-8.5355456	1.892092
-233.4,0.0,8.5355456	1.892092
-188.4,-4.928000000000001,2.8451824	4.409069
-188.4,-0.0,-5.6903632	4.409069
-188.4,4.928000000000001,2.8451824	4.409069
-142.4,-4.928000000000001,-0.0	-5.030367
-142.4,-2.4640000000000004,-4.2677728	-5.030367
-142.4,-2.4640000000000004,4.2677728	-5.030367
-142.4,2.4640000000000004,-4.2677728	-5.030367
-142.4,-4.928000000000001,0.0	5.039632
