El  x    y  z
C 6.160000000000004 -1.77635683940025e-15 1.892092580000001 
C 6.160000000000004 -1.77635683940025e-15 6.92709258 
Si 6.160000000000004 -1.77635683940025e-15 0.00463220000000053 
Si 6.160000000000004 -1.77635683940025e-15 5.039632199999999 
C 6.160000000000003 -1.778238829104049 4.409068939999998 
C 6.160000000000004 1.778238829104046 9.444068939999998 
Si 6.160000000000003 -1.778238829104049 2.515516210000001 
Si 6.160000000000004 1.778238829104046 7.55051621 
C -6.160000000000004 1.77635683940025e-15 1.892092580000001 
C -6.160000000000004 1.77635683940025e-15 6.92709258 
Si -6.160000000000004 1.77635683940025e-15 0.00463220000000053 
Si -6.160000000000004 1.77635683940025e-15 5.039632199999999 
C -6.160000000000004 -1.778238829104046 4.409068939999998 
C -6.160000000000003 1.778238829104049 9.444068939999998 
Si -6.160000000000004 -1.778238829104046 2.515516210000001 
Si -6.160000000000003 1.778238829104049 7.55051621 
C -4.620000000000001 2.667358243656072 1.892092580000001 
C -4.620000000000001 2.667358243656072 6.92709258 
Si -4.620000000000001 2.667358243656072 0.00463220000000053 
Si -4.620000000000001 2.667358243656072 5.039632199999999 
C -4.620000000000002 0.8891194145520229 4.409068939999998 
C -4.620000000000001 4.445597072760119 9.444068939999998 
Si -4.620000000000002 0.8891194145520229 2.515516210000001 
Si -4.620000000000001 4.445597072760119 7.55051621 
C -3.080000000000001 5.334716487312141 1.892092580000001 
C -3.080000000000001 5.334716487312141 6.92709258 
Si -3.080000000000001 5.334716487312141 0.00463220000000053 
Si -3.080000000000001 5.334716487312141 5.039632199999999 
C -3.080000000000001 3.556477658208093 4.409068939999998 
C -3.080000000000001 7.11295531641619 9.444068939999998 
Si -3.080000000000001 3.556477658208093 2.515516210000001 
Si -3.080000000000001 7.11295531641619 7.55051621 
C -1.540000000000001 8.002074730968214 1.892092580000001 
C -1.540000000000001 8.002074730968214 6.92709258 
Si -1.540000000000001 8.002074730968214 0.00463220000000053 
Si -1.540000000000001 8.002074730968214 5.039632199999999 
C -1.539999999999999 6.223835901864163 4.409068939999998 
C -1.539999999999998 9.780313560072262 9.444068939999998 
Si -1.539999999999999 6.223835901864163 2.515516210000001 
Si -1.539999999999998 9.780313560072262 7.55051621 
C 1.77635683940025e-15 10.66943297462428 1.892092580000001 
C 1.77635683940025e-15 10.66943297462428 6.92709258 
Si 1.77635683940025e-15 10.66943297462428 0.00463220000000053 
Si 1.77635683940025e-15 10.66943297462428 5.039632199999999 
C 1.77635683940025e-15 8.891194145520238 4.409068939999998 
C 2.220446049250313e-15 12.44767180372833 9.444068939999998 
Si 1.77635683940025e-15 8.891194145520238 2.515516210000001 
Si 2.220446049250313e-15 12.44767180372833 7.55051621 
C -4.620000000000003 -2.667358243656071 1.892092580000001 
C -4.620000000000003 -2.667358243656071 6.92709258 
Si -4.620000000000003 -2.667358243656071 0.00463220000000053 
Si -4.620000000000003 -2.667358243656071 5.039632199999999 
C -4.620000000000003 -4.445597072760117 4.409068939999998 
C -4.620000000000003 -0.8891194145520211 9.444068939999998 
