0.000000,   0.0000,  17.010	-1.0
14.731092,   0.0000,  -8.505	-1.0
-7.365546,  12.7575,  -8.505	-1.0
-7.365546, -12.7575,  -8.505	-1.0

0.000000,   0.00,  15.12	-1.0
13.094304,   0.00,  -7.56	-1.0
-6.547152,  11.34,  -7.56	-1.0
-6.547152, -11.34,  -7.56	-1.0

0.000000,  0.0000,  13.230	-1.0
11.457516,  0.0000,  -6.615	-1.0
-5.728758,  9.9225,  -6.615	-1.0
-5.728758, -9.9225,  -6.615	-1.0

0.000000,  0.000,  11.34	-1.0
9.820728,  0.000,  -5.67	-1.0
-4.910364,  8.505,  -5.67	-1.0
-4.910364, -8.505,  -5.67	-1.0

0.00000,  0.0000,  9.450	-1.0
8.18394,  0.0000, -4.725	-1.0
-4.09197,  7.0875, -4.725	-1.0
-4.09197, -7.0875, -4.725	-1.0

0.000000,  0.00,  7.56		-1.0
6.547152,  0.00, -3.78		-1.0
-3.273576,  5.67, -3.78		-1.0
-3.273576, -5.67, -3.78		-1.0

0.000000,  0.0000,  5.670	-1.0
4.910364,  0.0000, -2.835	-1.0
-2.455182,  4.2525, -2.835	-1.0
-2.455182, -4.2525, -2.835	-1.0

0.000000,  0.000,  3.78		-1.0
3.273576,  0.000, -1.89		-1.0
-1.636788,  2.835, -1.89	-1.0
-1.636788, -2.835, -1.89	-1.0

0.000000,  0.0000,  1.890	-1.0
1.636788,  0.0000, -0.945	-1.0
-0.818394,  1.4175, -0.945	-1.0
-0.818394, -1.4175, -0.945	-1.0

0.000000,  0.00000,  1.7010     -1.0
1.473109,  0.00000, -0.8505     -1.0
-0.736555,  1.27575, -0.8505    -1.0
-0.736555, -1.27575, -0.8505    -1.0

0.000000,  0.000,  1.512        -1.0
1.309430,  0.000, -0.756        -1.0
-0.654715,  1.134, -0.756       -1.0
-0.654715, -1.134, -0.756       -1.0

0.000000,  0.00000,  1.3230     -1.0
1.145752,  0.00000, -0.6615     -1.0
-0.572876,  0.99225, -0.6615    -1.0
-0.572876, -0.99225, -0.6615    -1.0

0.000000,  0.0000,  1.134       -1.0
0.982073,  0.0000, -0.567       -1.0
-0.491036,  0.8505, -0.567      -1.0
-0.491036, -0.8505, -0.567      -1.0

0.000000,  0.00000,  0.9450	-1.0
0.818394,  0.00000, -0.4725	-1.0
-0.409197,  0.70875, -0.4725	-1.0
-0.409197, -0.70875, -0.4725	-1.0

0.000000,  0.0000,  0.630	-1.0
0.545596,  0.0000, -0.315	-1.0
-0.272798,  0.4725, -0.315	-1.0
-0.272798, -0.4725, -0.315	-1.0

0.000000,  0.000000,  0.47250	-1.0
0.409197,  0.000000, -0.23625	-1.0
-0.204599,  0.354375, -0.23625	-1.0
-0.204599, -0.354375, -0.23625	-1.0

0.000000,  0.0000,  0.378	-1.0
0.327358,  0.0000, -0.189	-1.0
-0.163679,  0.2835, -0.189	-1.0
-0.163679, -0.2835, -0.189	-1.0

0.000000,  0.00000,  0.3150	-1.0
0.272798,  0.00000, -0.1575	-1.0
-0.136399,  0.23625, -0.1575	-1.0
-0.136399, -0.23625, -0.1575	-1.0

0.000000,  0.0000,  0.270	-1.0
0.233827,  0.0000, -0.135	-1.0
-0.116913,  0.2025, -0.135	-1.0
-0.116913, -0.2025, -0.135	-1.0

0.000000,  0.000000,  0.236250	-1.0
0.204599,  0.000000, -0.118125	-1.0
-0.102299,  0.177187, -0.118125	-1.0
-0.102299, -0.177187, -0.118125	-1.0

0.000000,  0.0000,  0.210	-1.0
0.181865,  0.0000, -0.105	-1.0
-0.090933,  0.1575, -0.105	-1.0
-0.090933, -0.1575, -0.105	-1.0
