El	x	y	z
Si	0.0	0.0	-5.939233831337775
Si	0.0	0.0	3.575536521263224
C	0.0	0.0	-9.506016763876605
Cr	-3.5527134223784897e-15	-2.442490477885212e-15	0.00875358872438385
Si	0.0	-3.3603841292955536	-1.182838191153949
Si	0.0	3.3603841292955536	8.331932161447051
C	0.0	-3.3603841292955536	-4.7611339958194225
C	0.0	3.3603841292955536	4.753636356781575
