    A       	B
    1.5991   -1.7151
    1.6093   -1.7788
    1.6194   -1.8418
    1.6295   -1.9037
    1.6396   -1.9645
    1.6498   -2.0239
    1.6599   -2.0819
    1.6700   -2.1383
    1.6802   -2.1930
    1.6903   -2.2460
    1.7004   -2.2971
    1.7105   -2.3463
    1.7207   -2.3935
    1.7308   -2.4386
    1.7409   -2.4817
    1.7511   -2.5226
    1.7612   -2.5614
    1.7713   -2.5980
    1.7814   -2.6323
    1.7916   -2.6644
    1.8017   -2.6942
    1.8118   -2.7217
    1.8220   -2.7468
    1.8321   -2.7696
    1.8422   -2.7901
    1.8523   -2.8081
    1.8625   -2.8238
    1.8726   -2.8371
    1.8827   -2.8480
    1.8929   -2.8564
    1.9030   -2.8625
    1.9131   -2.8661
    1.9233   -2.8673
    1.9334   -2.7750
    1.9436   -2.6866
    1.9538   -2.6034
    1.9640   -2.5267
    1.9742   -2.4579
    1.9844   -2.3985
    1.9946   -2.3502
    2.0048   -2.3145
    2.0150   -2.2925
    2.0251   -2.2850

    0.0000    0.7409
    0.0101    0.7421
    0.0203    0.7459
    0.0304    0.7521
    0.0405    0.7608
    0.0506    0.7720
    0.0608    0.7857
    0.0709    0.8018
    0.0810    0.8204
    0.0912    0.8414
    0.1013    0.8648
    0.1114    0.8906
    0.1215    0.9187
    0.1317    0.9492
    0.1418    0.9821
    0.1519    1.0171
    0.1621    1.0544
    0.1722    1.0939
    0.1823    1.1355
    0.1925    1.1791
    0.2026    1.2247
    0.2127    1.2721
    0.2228    1.3214
    0.2330    1.3722
    0.2431    1.4246
    0.2532    1.4782
    0.2634    1.5329
    0.2735    1.5883
    0.2836    1.6441
    0.2937    1.7000
    0.3039    1.7552
    0.3140    1.8090
    0.3241    1.8606
    0.3343    1.9087
    0.3444    1.9516
    0.3545    1.9875
    0.3646    2.0138
    0.3748    2.0276
    0.3849    2.0256
    0.3950    2.0047
    0.4052    1.9612
    0.4153    1.8923
    0.4254    1.7993
    0.4355    1.6924
    0.4457    1.5818
    0.4558    1.4734
    0.4659    1.3704
    0.4761    1.2747
    0.4862    1.1881
    0.4963    1.1119
    0.5064    1.0475
    0.5166    0.9957
    0.5267    0.9566
    0.5368    0.9298
    0.5470    0.9135
    0.5571    0.9052
    0.5672    0.9019
    0.5774    0.9012
    0.5875    0.9024
    0.5976    0.9061
    0.6077    0.9123
    0.6178    0.9210
    0.6279    0.9321
    0.6380    0.9456
    0.6481    0.9616
    0.6582    0.9800
    0.6683    1.0008
    0.6784    1.0239
    0.6885    1.0494
    0.6986    1.0771
    0.7087    1.1071
    0.7188    1.1393
    0.7289    1.1736
    0.7390    1.2099
    0.7491    1.2481
    0.7592    1.2881
    0.7693    1.3298
    0.7794    1.3730
    0.7895    1.4175
    0.7996    1.4630
    0.8097    1.5091
    0.8198    1.5555
    0.8299    1.6015
    0.8400    1.6465
    0.8501    1.6898
    0.8602    1.7303
    0.8703    1.7671
    0.8804    1.7992
    0.8905    1.8258
    0.9006    1.8461
    0.9107    1.8600
    0.9209    1.8609
    0.9311    1.8635
    0.9412    1.8676
    0.9514    1.8729
    0.9616    1.8789
    0.9718    1.8853
    0.9820    1.8912
    0.9922    1.8961
    1.0024    1.8993
    1.0126    1.9004
    1.0227    1.8921
    1.0328    1.8689
    1.0429    1.8358
    1.0530    1.7966
    1.0631    1.7536
    1.0732    1.7081
    1.0833    1.6613
    1.0934    1.6137
    1.1035    1.5661
    1.1136    1.5187
    1.1237    1.4720
    1.1338    1.4264
    1.1439    1.3819
    1.1540    1.3389
    1.1641    1.2975
    1.1742    1.2578
    1.1843    1.2200
    1.1944    1.1841
    1.2045    1.1502
    1.2146    1.1185
    1.2247    1.0889
    1.2348    1.0615
    1.2449    1.0364
    1.2550    1.0135
    1.2651    0.9930
    1.2752    0.9748
    1.2853    0.9591
    1.2954    0.9457
    1.3055    0.9347
    1.3156    0.9262
    1.3257    0.9200
    1.3358    0.9164
    1.3459    0.9152
    1.3560    0.9227
    1.3662    0.9448
    1.3763    0.9806
    1.3864    1.0282
    1.3965    1.0856
    1.4067    1.1504
    1.4168    1.2205
    1.4269    1.2940
    1.4371    1.3699
    1.4472    1.4480
    1.4573    1.5292
    1.4674    1.6140
    1.4776    1.7029
    1.4877    1.7955
    1.4978    1.8905
    1.5080    1.9862
    1.5181    2.0798
    1.5282    2.1681
    1.5384    2.2477
    1.5485    2.3148
    1.5586    2.3668
    1.5687    2.4022
    1.5789    2.4215
    1.5890    2.4260
    1.5991    2.4181
    1.6093    2.4001
    1.6194    2.3744
    1.6295    2.3429
    1.6396    2.3071
    1.6498    2.2683
    1.6599    2.2275
    1.6700    2.1856
    1.6802    2.1431
    1.6903    2.1006
    1.7004    2.0584
    1.7105    2.0169
    1.7207    1.9763
    1.7308    1.9369
    1.7409    1.8989
    1.7511    1.8624
    1.7612    1.8274
    1.7713    1.7943
    1.7814    1.7629
    1.7916    1.7334
    1.8017    1.7059
    1.8118    1.6805
    1.8220    1.6571
    1.8321    1.6358
    1.8422    1.6167
    1.8523    1.5998
    1.8625    1.5850
    1.8726    1.5726
    1.8827    1.5623
    1.8929    1.5543
    1.9030    1.5486
    1.9131    1.5452
    1.9233    1.5440
    1.9334    1.4099
    1.9436    1.2841
    1.9538    1.1678
    1.9640    1.0623
    1.9742    0.9692
    1.9844    0.8899
    1.9946    0.8261
    2.0048    0.7792
    2.0150    0.7505
    2.0251    0.7409

    0.0000    3.1631
    0.0101    3.1641
    0.0203    3.1669
    0.0304    3.1715
    0.0405    3.1779
    0.0506    3.1862
    0.0608    3.1962
    0.0709    3.2080
    0.0810    3.2214
    0.0912    3.2365
    0.1013    3.2532
    0.1114    3.2713
    0.1215    3.2908
    0.1317    3.3116
    0.1418    3.3335
    0.1519    3.3563
    0.1621    3.3799
    0.1722    3.4039
    0.1823    3.4282
    0.1925    3.4522
    0.2026    3.4756
    0.2127    3.4977
    0.2228    3.5179
    0.2330    3.5350
    0.2431    3.5477
    0.2532    3.5538
    0.2634    3.5501
    0.2735    3.5329
    0.2836    3.4997
    0.2937    3.4488
    0.3039    3.3794
    0.3140    3.2922
    0.3241    3.1893
    0.3343    3.0737
    0.3444    2.9489
    0.3545    2.8177
    0.3646    2.6830
    0.3748    2.5469
    0.3849    2.4116
    0.3950    2.2796
    0.4052    2.1542
    0.4153    2.0397
    0.4254    1.9375
    0.4355    1.8418
    0.4457    1.7475
    0.4558    1.6545
    0.4659    1.5645
    0.4761    1.4802
    0.4862    1.4039
    0.4963    1.3375
    0.5064    1.2829
    0.5166    1.2414
    0.5267    1.2136
    0.5368    1.1995
    0.5470    1.1978
    0.5571    1.2052
    0.5672    1.2157
    0.5774    1.2208
    0.5875    1.2219
    0.5976    1.2251
    0.6077    1.2305
    0.6178    1.2381
    0.6279    1.2478
    0.6380    1.2595
    0.6481    1.2734
    0.6582    1.2893
    0.6683    1.3071
    0.6784    1.3269
    0.6885    1.3486
    0.6986    1.3720
    0.7087    1.3971
    0.7188    1.4238
    0.7289    1.4520
    0.7390    1.4814
    0.7491    1.5119
    0.7592    1.5434
    0.7693    1.5754
    0.7794    1.6078
    0.7895    1.6403
    0.7996    1.6723
    0.8097    1.7035
    0.8198    1.7333
    0.8299    1.7612
    0.8400    1.7868
    0.8501    1.8094
    0.8602    1.8288
    0.8703    1.8447
    0.8804    1.8570
    0.8905    1.8652
    0.9006    1.8672
    0.9107    1.8600
    0.9209    1.8609
    0.9311    1.8635
    0.9412    1.8676
    0.9514    1.8729
    0.9616    1.8790
    0.9718    1.8853
    0.9820    1.8912
    0.9922    1.8961
    1.0024    1.8993
    1.0126    1.9004
    1.0227    1.8921
    1.0328    1.8689
    1.0429    1.8358
    1.0530    1.7966
    1.0631    1.7536
    1.0732    1.7081
    1.0833    1.6613
    1.0934    1.6137
    1.1035    1.5661
    1.1136    1.5187
    1.1237    1.4720
    1.1338    1.4264
    1.1439    1.3819
    1.1540    1.3389
    1.1641    1.2975
    1.1742    1.2578
    1.1843    1.2200
    1.1944    1.1841
    1.2045    1.1502
    1.2146    1.1185
    1.2247    1.0889
    1.2348    1.0615
    1.2449    1.0364
    1.2550    1.0135
    1.2651    0.9930
    1.2752    0.9748
    1.2853    0.9591
    1.2954    0.9457
    1.3055    0.9347
    1.3156    0.9262
    1.3257    0.9200
    1.3358    0.9164
    1.3459    0.9152
    1.3560    0.9227
    1.3662    0.9448
    1.3763    0.9806
    1.3864    1.0282
    1.3965    1.0856
    1.4067    1.1504
    1.4168    1.2205
    1.4269    1.2940
    1.4371    1.3699
    1.4472    1.4480
    1.4573    1.5292
    1.4674    1.6140
    1.4776    1.7029
    1.4877    1.7955
    1.4978    1.8905
    1.5080    1.9862
    1.5181    2.0798
    1.5282    2.1681
    1.5384    2.2477
    1.5485    2.3148
    1.5586    2.3668
    1.5687    2.4022
    1.5789    2.4215
    1.5890    2.4260
    1.5991    2.4181
    1.6093    2.4001
    1.6194    2.3744
    1.6295    2.3429
    1.6396    2.3071
    1.6498    2.2683
    1.6599    2.2275
    1.6700    2.1856
    1.6802    2.1431
    1.6903    2.1006
    1.7004    2.0584
    1.7105    2.0169
    1.7207    1.9763
    1.7308    1.9369
    1.7409    1.8989
    1.7511    1.8624
    1.7612    1.8274
    1.7713    1.7943
    1.7814    1.7629
    1.7916    1.7334
    1.8017    1.7059
    1.8118    1.6805
    1.8220    1.6571
    1.8321    1.6358
    1.8422    1.6167
    1.8523    1.5998
    1.8625    1.5850
    1.8726    1.5726
    1.8827    1.5623
    1.8929    1.5543
    1.9030    1.5486
    1.9131    1.5452
    1.9233    1.5440
    1.9334    1.6856
    1.9436    1.8336
    1.9538    1.9873
    1.9640    2.1462
    1.9742    2.3096
    1.9844    2.4771
    1.9946    2.6484
    2.0048    2.8229
    2.0150    3.0001
    2.0251    3.1631

    0.0000    3.1998
    0.0101    3.2007
    0.0203    3.2035
    0.0304    3.2081
    0.0405    3.2146
    0.0506    3.2228
    0.0608    3.2328
    0.0709    3.2446
    0.0810    3.2580
    0.0912    3.2731
    0.1013    3.2897
    0.1114    3.3077
    0.1215    3.3271
    0.1317    3.3477
    0.1418    3.3694
    0.1519    3.3919
    0.1621    3.4151
    0.1722    3.4386
    0.1823    3.4622
    0.1925    3.4853
    0.2026    3.5075
    0.2127    3.5281
    0.2228    3.5462
    0.2330    3.5609
    0.2431    3.5710
    0.2532    3.5756
    0.2634    3.5741
    0.2735    3.5656
    0.2836    3.5480
    0.2937    3.5187
    0.3039    3.4756
    0.3140    3.4176
    0.3241    3.3446
    0.3343    3.2577
    0.3444    3.1590
    0.3545    3.0510
    0.3646    2.9366
    0.3748    2.8186
    0.3849    2.6998
    0.3950    2.5830
    0.4052    2.4710
    0.4153    2.3664
    0.4254    2.2716
    0.4355    2.1879
    0.4457    2.1157
    0.4558    2.0544
    0.4659    2.0030
    0.4761    1.9597
    0.4862    1.9213
    0.4963    1.8834
    0.5064    1.8408
    0.5166    1.7907
    0.5267    1.7342
    0.5368    1.6758
    0.5470    1.6208
    0.5571    1.5707
    0.5672    1.5287
    0.5774    1.5122
    0.5875    1.5133
    0.5976    1.5166
    0.6077    1.5221
    0.6178    1.5298
    0.6279    1.5396
    0.6380    1.5515
    0.6481    1.5655
    0.6582    1.5816
    0.6683    1.5997
    0.6784    1.6198
    0.6885    1.6417
    0.6986    1.6655
    0.7087    1.6909
    0.7188    1.7179
    0.7289    1.7465
    0.7390    1.7763
    0.7491    1.8073
    0.7592    1.8393
    0.7693    1.8720
    0.7794    1.9052
    0.7895    1.9386
    0.7996    1.9720
    0.8097    2.0050
    0.8198    2.0375
    0.8299    2.0693
    0.8400    2.0873
    0.8501    2.0685
    0.8602    2.0400
    0.8703    2.0064
    0.8804    1.9722
    0.8905    1.9414
    0.9006    1.9195
    0.9107    1.9124
    0.9209    1.9141
    0.9311    1.9191
    0.9412    1.9274
    0.9514    1.9389
    0.9616    1.9535
    0.9718    1.9710
    0.9820    1.9911
    0.9922    2.0136
    1.0024    2.0381
    1.0126    2.0643
    1.0227    2.0717
    1.0328    2.0910
    1.0429    2.1160
    1.0530    2.1420
    1.0631    2.1664
    1.0732    2.1876
    1.0833    2.2044
    1.0934    2.2161
    1.1035    2.2224
    1.1136    2.2231
    1.1237    2.2186
    1.1338    2.2094
    1.1439    2.1964
    1.1540    2.1802
    1.1641    2.1617
    1.1742    2.1417
    1.1843    2.1207
    1.1944    2.0993
    1.2045    2.0779
    1.2146    2.0569
    1.2247    2.0366
    1.2348    2.0173
    1.2449    1.9992
    1.2550    1.9823
    1.2651    1.9670
    1.2752    1.9532
    1.2853    1.9411
    1.2954    1.9307
    1.3055    1.9222
    1.3156    1.9155
    1.3257    1.9107
    1.3358    1.9078
    1.3459    1.9068
    1.3560    1.8946
    1.3662    1.8650
    1.3763    1.8308
    1.3864    1.8011
    1.3965    1.7817
    1.4067    1.7765
    1.4168    1.7882
    1.4269    1.8184
    1.4371    1.8675
    1.4472    1.9342
    1.4573    2.0161
    1.4674    2.1103
    1.4776    2.2138
    1.4877    2.3239
    1.4978    2.4387
    1.5080    2.5565
    1.5181    2.6763
    1.5282    2.7975
    1.5384    2.9202
    1.5485    3.0453
    1.5586    3.1736
    1.5687    3.3063
    1.5789    3.4436
    1.5890    3.5855
    1.5991    3.7313
    1.6093    3.8800
    1.6194    4.0303
    1.6295    4.1806
    1.6396    4.3291
    1.6498    4.4733
    1.6599    4.6102
    1.6700    4.7361
    1.6802    4.8472
    1.6903    4.9404
    1.7004    5.0143
    1.7105    5.0698
    1.7207    5.1093
    1.7308    5.1359
    1.7409    5.1525
    1.7511    5.1616
    1.7612    5.1652
    1.7713    5.1647
    1.7814    5.1614
    1.7916    5.1560
    1.8017    5.1494
    1.8118    5.1420
    1.8220    5.1343
    1.8321    5.1266
    1.8422    5.1191
    1.8523    5.1121
    1.8625    5.1057
    1.8726    5.1001
    1.8827    5.0954
    1.8929    5.0917
    1.9030    5.0890
    1.9131    5.0873
    1.9233    5.0867
    1.9334    4.8911
    1.9436    4.6960
    1.9538    4.5018
    1.9640    4.3086
    1.9742    4.1166
    1.9844    3.9260
    1.9946    3.7371
    2.0048    3.5500
    2.0150    3.3653
    2.0251    3.1998

    0.0000    7.0158
    0.0101    7.0156
    0.0203    7.0150
    0.0304    7.0138
    0.0405    7.0120
    0.0506    7.0092
    0.0608    7.0053
    0.0709    6.9997
    0.0810    6.9917
    0.0912    6.9805
    0.1013    6.9647
    0.1114    6.9424
    0.1215    6.9105
    0.1317    6.8646
    0.1418    6.7973
    0.1519    6.6978
    0.1621    6.5622
    0.1722    6.4069
    0.1823    6.2438
    0.1925    6.0775
    0.2026    5.9097
    0.2127    5.7419
    0.2228    5.5751
    0.2330    5.4104
    0.2431    5.2487
    0.2532    5.0912
    0.2634    4.9387
    0.2735    4.7918
    0.2836    4.6498
    0.2937    4.5110
    0.3039    4.3729
    0.3140    4.2345
    0.3241    4.0967
    0.3343    3.9615
    0.3444    3.8308
    0.3545    3.7065
    0.3646    3.5901
    0.3748    3.4821
    0.3849    3.3817
    0.3950    3.2860
    0.4052    3.1904
    0.4153    3.0903
    0.4254    2.9835
    0.4355    2.8703
    0.4457    2.7524
    0.4558    2.6316
    0.4659    2.5098
    0.4761    2.3882
    0.4862    2.2683
    0.4963    2.1510
    0.5064    2.0376
    0.5166    1.9292
    0.5267    1.8274
    0.5368    1.7341
    0.5470    1.6526
    0.5571    1.5911
    0.5672    1.5575
    0.5774    1.5468
    0.5875    1.5480
    0.5976    1.5515
    0.6077    1.5573
    0.6178    1.5653
    0.6279    1.5757
    0.6380    1.5884
    0.6481    1.6033
    0.6582    1.6204
    0.6683    1.6397
    0.6784    1.6611
    0.6885    1.6846
    0.6986    1.7101
    0.7087    1.7376
    0.7188    1.7668
    0.7289    1.7978
    0.7390    1.8303
    0.7491    1.8641
    0.7592    1.8989
    0.7693    1.9342
    0.7794    1.9695
    0.7895    2.0040
    0.7996    2.0360
    0.8097    2.0637
    0.8198    2.0838
    0.8299    2.0925
    0.8400    2.1003
    0.8501    2.1304
    0.8602    2.1598
    0.8703    2.1885
    0.8804    2.2160
    0.8905    2.2409
    0.9006    2.2600
    0.9107    2.2677
    0.9209    2.2647
    0.9311    2.2557
    0.9412    2.2414
    0.9514    2.2224
    0.9616    2.1998
    0.9718    2.1745
    0.9820    2.1475
    0.9922    2.1197
    1.0024    2.0917
    1.0126    2.0643
    1.0227    2.0717
    1.0328    2.0910
    1.0429    2.1160
    1.0530    2.1420
    1.0631    2.1664
    1.0732    2.1876
    1.0833    2.2044
    1.0934    2.2161
    1.1035    2.2224
    1.1136    2.2231
    1.1237    2.2186
    1.1338    2.2094
    1.1439    2.1964
    1.1540    2.1802
    1.1641    2.1617
    1.1742    2.1417
    1.1843    2.1207
    1.1944    2.0993
    1.2045    2.0779
    1.2146    2.0569
    1.2247    2.0366
    1.2348    2.0173
    1.2449    1.9992
    1.2550    1.9823
    1.2651    1.9670
    1.2752    1.9532
    1.2853    1.9411
    1.2954    1.9307
    1.3055    1.9222
    1.3156    1.9155
    1.3257    1.9107
    1.3358    1.9078
    1.3459    1.9068
    1.3560    1.8946
    1.3662    1.8650
    1.3763    1.8308
    1.3864    1.8011
    1.3965    1.7817
    1.4067    1.7765
    1.4168    1.7882
    1.4269    1.8184
    1.4371    1.8675
    1.4472    1.9342
    1.4573    2.0161
    1.4674    2.1103
    1.4776    2.2138
    1.4877    2.3239
    1.4978    2.4387
    1.5080    2.5565
    1.5181    2.6763
    1.5282    2.7975
    1.5384    2.9202
    1.5485    3.0453
    1.5586    3.1736
    1.5687    3.3063
    1.5789    3.4436
    1.5890    3.5855
    1.5991    3.7313
    1.6093    3.8800
    1.6194    4.0303
    1.6295    4.1806
    1.6396    4.3291
    1.6498    4.4733
    1.6599    4.6102
    1.6700    4.7361
    1.6802    4.8472
    1.6903    4.9404
    1.7004    5.0143
    1.7105    5.0698
    1.7207    5.1093
    1.7308    5.1359
    1.7409    5.1525
    1.7511    5.1616
    1.7612    5.1652
    1.7713    5.1647
    1.7814    5.1614
    1.7916    5.1560
    1.8017    5.1494
    1.8118    5.1420
    1.8220    5.1343
    1.8321    5.1266
    1.8422    5.1191
    1.8523    5.1121
    1.8625    5.1057
    1.8726    5.1001
    1.8827    5.0954
    1.8929    5.0917
    1.9030    5.0890
    1.9131    5.0873
    1.9233    5.0867
    1.9334    5.2828
    1.9436    5.4791
    1.9538    5.6753
    1.9640    5.8712
    1.9742    6.0665
    1.9844    6.2611
    1.9946    6.4545
    2.0048    6.6464
    2.0150    6.8366
    2.0251    7.0158

    0.0000    7.0342
    0.0101    7.0340
    0.0203    7.0335
    0.0304    7.0327
    0.0405    7.0313
    0.0506    7.0292
    0.0608    7.0261
    0.0709    7.0217
    0.0810    7.0153
    0.0912    7.0064
    0.1013    6.9939
    0.1114    6.9765
    0.1215    6.9521
    0.1317    6.9178
    0.1418    6.8680
    0.1519    6.7838
    0.1621    6.6642
    0.1722    6.5354
    0.1823    6.3966
    0.1925    6.2492
    0.2026    6.0956
    0.2127    5.9379
    0.2228    5.7776
    0.2330    5.6162
    0.2431    5.4548
    0.2532    5.2947
    0.2634    5.1376
    0.2735    4.9855
    0.2836    4.8412
    0.2937    4.7083
    0.3039    4.5891
    0.3140    4.4831
    0.3241    4.3867
    0.3343    4.2947
    0.3444    4.2031
    0.3545    4.1091
    0.3646    3.9872
    0.3748    3.8556
    0.3849    3.7219
    0.3950    3.5868
    0.4052    3.4513
    0.4153    3.3162
    0.4254    3.1823
    0.4355    3.0507
    0.4457    2.9226
    0.4558    2.7992
    0.4659    2.6825
    0.4761    2.5751
    0.4862    2.4807
    0.4963    2.4046
    0.5064    2.3520
    0.5166    2.3264
    0.5267    2.3269
    0.5368    2.3492
    0.5470    2.3880
    0.5571    2.4369
    0.5672    2.4857
    0.5774    2.5099
    0.5875    2.5104
    0.5976    2.5119
    0.6077    2.5144
    0.6178    2.5178
    0.6279    2.5219
    0.6380    2.5269
    0.6481    2.5323
    0.6582    2.5382
    0.6683    2.5443
    0.6784    2.5503
    0.6885    2.5560
    0.6986    2.5610
    0.7087    2.5650
    0.7188    2.5674
    0.7289    2.5679
    0.7390    2.5658
    0.7491    2.5608
    0.7592    2.5524
    0.7693    2.5403
    0.7794    2.5245
    0.7895    2.5055
    0.7996    2.4842
    0.8097    2.4630
    0.8198    2.4451
    0.8299    2.4351
    0.8400    2.4363
    0.8501    2.4492
    0.8602    2.4712
    0.8703    2.4986
    0.8804    2.5285
    0.8905    2.5586
    0.9006    2.5871
    0.9107    2.6128
    0.9209    2.6087
    0.9311    2.5968
    0.9412    2.5790
    0.9514    2.5576
    0.9616    2.5349
    0.9718    2.5131
    0.9820    2.4939
    0.9922    2.4791
    1.0024    2.4696
    1.0126    2.4664
    1.0227    2.4690
    1.0328    2.4766
    1.0429    2.4885
    1.0530    2.5031
    1.0631    2.5184
    1.0732    2.5323
    1.0833    2.5434
    1.0934    2.5508
    1.1035    2.5542
    1.1136    2.5538
    1.1237    2.5498
    1.1338    2.5428
    1.1439    2.5331
    1.1540    2.5213
    1.1641    2.5076
    1.1742    2.4927
    1.1843    2.4767
    1.1944    2.4602
    1.2045    2.4434
    1.2146    2.4267
    1.2247    2.4104
    1.2348    2.3946
    1.2449    2.3797
    1.2550    2.3657
    1.2651    2.3528
    1.2752    2.3412
    1.2853    2.3309
    1.2954    2.3221
    1.3055    2.3147
    1.3156    2.3090
    1.3257    2.3049
    1.3358    2.3024
    1.3459    2.3015
    1.3560    2.3224
    1.3662    2.3780
    1.3763    2.4563
    1.3864    2.5488
    1.3965    2.6511
    1.4067    2.7603
    1.4168    2.8750
    1.4269    2.9937
    1.4371    3.1157
    1.4472    3.2399
    1.4573    3.3653
    1.4674    3.4907
    1.4776    3.6140
    1.4877    3.7322
    1.4978    3.8398
    1.5080    3.9291
    1.5181    3.9948
    1.5282    4.0422
    1.5384    4.0843
    1.5485    4.1321
    1.5586    4.1918
    1.5687    4.2658
    1.5789    4.3537
    1.5890    4.4538
    1.5991    4.5637
    1.6093    4.6807
    1.6194    4.8023
    1.6295    4.9262
    1.6396    5.0503
    1.6498    5.1734
    1.6599    5.2950
    1.6700    5.4159
    1.6802    5.5384
    1.6903    5.6654
    1.7004    5.7991
    1.7105    5.9401
    1.7207    6.0877
    1.7308    6.2402
    1.7409    6.3959
    1.7511    6.5532
    1.7612    6.7107
    1.7713    6.8671
    1.7814    7.0212
    1.7916    7.1721
    1.8017    7.3185
    1.8118    7.4596
    1.8220    7.5941
    1.8321    7.7211
    1.8422    7.8394
    1.8523    7.9478
    1.8625    8.0451
    1.8726    8.1300
    1.8827    8.2015
    1.8929    8.2585
    1.9030    8.2999
    1.9131    8.3250
    1.9233    8.3335
    1.9334    8.3223
    1.9436    8.3122
    1.9538    8.2442
    1.9640    8.0843
    1.9742    7.9187
    1.9844    7.7479
    1.9946    7.5726
    2.0048    7.3934
    2.0150    7.2109
    2.0251    7.0342

    0.0000    8.2734
    0.0101    8.2647
    0.0203    8.2388
    0.0304    8.1961
    0.0405    8.1375
    0.0506    8.0639
    0.0608    7.9765
    0.0709    7.8766
    0.0810    7.7655
    0.0912    7.6444
    0.1013    7.5147
    0.1114    7.3776
    0.1215    7.2349
    0.1317    7.0888
    0.1418    6.9451
    0.1519    6.8266
    0.1621    6.7338
    0.1722    6.6272
    0.1823    6.5037
    0.1925    6.3670
    0.2026    6.2213
    0.2127    6.0700
    0.2228    5.9157
    0.2330    5.7600
    0.2431    5.6046
    0.2532    5.4508
    0.2634    5.2998
    0.2735    5.1527
    0.2836    5.0105
    0.2937    4.8737
    0.3039    4.7421
    0.3140    4.6151
    0.3241    4.4909
    0.3343    4.3676
    0.3444    4.2434
    0.3545    4.1180
    0.3646    4.0164
    0.3748    3.9234
    0.3849    3.8363
    0.3950    3.7612
    0.4052    3.7049
    0.4153    3.6723
    0.4254    3.6644
    0.4355    3.6792
    0.4457    3.7123
    0.4558    3.7591
    0.4659    3.8064
    0.4761    3.7395
    0.4862    3.6166
    0.4963    3.4930
    0.5064    3.3719
    0.5166    3.2542
    0.5267    3.1408
    0.5368    3.0326
    0.5470    2.9310
    0.5571    2.8393
    0.5672    2.7655
    0.5774    2.7330
    0.5875    2.7339
    0.5976    2.7364
    0.6077    2.7405
    0.6178    2.7462
    0.6279    2.7534
    0.6380    2.7622
    0.6481    2.7724
    0.6582    2.7840
    0.6683    2.7968
    0.6784    2.8107
    0.6885    2.8255
    0.6986    2.8411
    0.7087    2.8572
    0.7188    2.8736
    0.7289    2.8899
    0.7390    2.9058
    0.7491    2.9207
    0.7592    2.9343
    0.7693    2.9457
    0.7794    2.9545
    0.7895    2.9597
    0.7996    2.9607
    0.8097    2.9565
    0.8198    2.9464
    0.8299    2.9296
    0.8400    2.9055
    0.8501    2.8739
    0.8602    2.8350
    0.8703    2.7898
    0.8804    2.7404
    0.8905    2.6906
    0.9006    2.6456
    0.9107    2.6129
    0.9209    2.6087
    0.9311    2.5968
    0.9412    2.5791
    0.9514    2.5576
    0.9616    2.5349
    0.9718    2.5131
    0.9820    2.4939
    0.9922    2.4791
    1.0024    2.4696
    1.0126    2.4664
    1.0227    2.4690
    1.0328    2.4766
    1.0429    2.4885
    1.0530    2.5031
    1.0631    2.5184
    1.0732    2.5323
    1.0833    2.5434
    1.0934    2.5508
    1.1035    2.5542
    1.1136    2.5538
    1.1237    2.5498
    1.1338    2.5428
    1.1439    2.5331
    1.1540    2.5213
    1.1641    2.5076
    1.1742    2.4927
    1.1843    2.4767
    1.1944    2.4602
    1.2045    2.4434
    1.2146    2.4267
    1.2247    2.4104
    1.2348    2.3946
    1.2449    2.3797
    1.2550    2.3657
    1.2651    2.3528
    1.2752    2.3412
    1.2853    2.3309
    1.2954    2.3221
    1.3055    2.3147
    1.3156    2.3090
    1.3257    2.3049
    1.3358    2.3024
    1.3459    2.3015
    1.3560    2.3224
    1.3662    2.3780
    1.3763    2.4563
    1.3864    2.5488
    1.3965    2.6511
    1.4067    2.7603
    1.4168    2.8750
    1.4269    2.9937
    1.4371    3.1157
    1.4472    3.2399
    1.4573    3.3653
    1.4674    3.4907
    1.4776    3.6140
    1.4877    3.7322
    1.4978    3.8398
    1.5080    3.9291
    1.5181    3.9948
    1.5282    4.0422
    1.5384    4.0843
    1.5485    4.1321
    1.5586    4.1918
    1.5687    4.2658
    1.5789    4.3537
    1.5890    4.4538
    1.5991    4.5637
    1.6093    4.6807
    1.6194    4.8023
    1.6295    4.9262
    1.6396    5.0503
    1.6498    5.1734
    1.6599    5.2950
    1.6700    5.4159
    1.6802    5.5384
    1.6903    5.6654
    1.7004    5.7991
    1.7105    5.9401
    1.7207    6.0877
    1.7308    6.2402
    1.7409    6.3959
    1.7511    6.5532
    1.7612    6.7107
    1.7713    6.8671
    1.7814    7.0212
    1.7916    7.1721
    1.8017    7.3185
    1.8118    7.4596
    1.8220    7.5941
    1.8321    7.7211
    1.8422    7.8394
    1.8523    7.9478
    1.8625    8.0451
    1.8726    8.1300
    1.8827    8.2015
    1.8929    8.2585
    1.9030    8.2999
    1.9131    8.3250
    1.9233    8.3335
    1.9334    8.3223
    1.9436    8.3122
    1.9538    8.3032
    1.9640    8.2954
    1.9742    8.2887
    1.9844    8.2832
    1.9946    8.2789
    2.0048    8.2759
    2.0150    8.2740
    2.0251    8.2734

    0.0000    8.2734
    0.0101    8.2703
    0.0203    8.2611
    0.0304    8.2460
    0.0405    8.2252
    0.0506    8.1991
    0.0608    8.1681
    0.0709    8.1093
    0.0810    8.0116
    0.0912    7.9059
    0.1013    7.7939
    0.1114    7.6779
    0.1215    7.5604
    0.1317    7.4450
    0.1418    7.3354
    0.1519    7.2345
    0.1621    7.1421
    0.1722    7.0542
